reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
11,30,7,0,0,0,0,16.787828200001968,17.581464500006405,17.581464500006405,17.7983674000061,t,3.5322293999997783,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,0,1,1,1,21.135681400002795,22.131372400006512,22.131372400006512,22.147657000001345,l,3.925796799994714,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,0,2,2,2,26.083629700005986,27.081083500001114,27.081083500001114,27.0976393000019,t,2.2131714999995893,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,0,3,3,6,29.320357600001444,30.31434050000098,30.31434050000098,30.331035500006692,t,3.2714277999912156,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,0,4,4,5,33.6144981000034,34.61381240000628,34.61381240000628,34.61381240000628,l,6.371188799996162,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,0,5,5,3,41.013374300004216,42.013484700000845,42.013484700000845,42.013484700000845,t,3.047451099999307,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,0,6,6,4,45.079993999999715,46.080066599999554,46.080066599999554,46.080066599999554,t,2.131534799991641,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,1,0,7,4,48.23013610000635,49.22983270000259,49.22983270000259,49.22983270000259,t,1.4356310999937705,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,1,1,8,6,50.69661530000303,51.696500500002,51.696500500002,51.696500500002,l,0.8229316999932053,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,1,2,9,2,52.5466379999998,53.54654600000504,53.54654600000504,53.54654600000504,t,8.023611699994945,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,1,3,10,1,61.5961884999997,62.596111500002735,62.596111500002735,62.596111500002735,t,3.5023662999883527,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,1,4,11,5,66.1294418000034,67.12946220000595,67.12946220000595,67.12946220000595,t,2.764450799993938,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,1,5,12,3,69.91248980000091,70.91219249999995,70.91219249999995,70.91219249999995,l,1.2935683999967296,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,1,6,13,0,72.22900280000613,73.22910190000403,73.22910190000403,73.22910190000403,l,1.3408104999980424,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,2,0,14,5,74.59575000000041,75.59570680000616,75.59570680000616,75.59570680000616,t,1.8567732999945292,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,2,1,15,2,77.4789168999996,78.47913230000268,78.47913230000268,78.47913230000268,l,2.1493721999941044,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,2,2,16,3,80.64539100000547,81.64542500000243,81.64542500000243,81.64542500000243,l,1.7311688999980106,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,2,3,17,6,83.39630520000355,84.3950960000002,84.3950960000002,84.41173980000167,t,1.4486135999977705,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,2,4,18,4,85.86197370000446,86.8616983000029,86.8616983000029,86.8616983000029,t,1.0784159999893745,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,2,5,19,1,87.9616915000006,88.96166850000009,88.96166850000009,88.96166850000009,l,1.5638064999948256,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,2,6,20,0,90.54477370000677,91.54499260000011,91.54499260000011,91.54499260000011,l,0.7953005999952438,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,3,0,21,3,92.36190530000022,93.3614710000038,93.3614710000038,93.3614710000038,t,0.8476286999939475,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,3,1,22,1,94.22802990000491,95.22836420000385,95.22836420000385,95.22836420000385,l,1.7016914999912842,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,3,2,23,5,96.96112790000188,97.96141960000386,97.96141960000386,97.96141960000386,t,1.277388599992264,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,3,3,24,4,99.26138910000009,100.26113170000463,100.26113170000463,100.26113170000463,l,3.5797600999940187,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,3,4,25,0,103.86117980000563,104.86067449999973,104.86067449999973,104.86067449999973,l,1.6454604999889852,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,3,5,26,2,106.52753600000142,107.52766410000186,107.52766410000186,107.52766410000186,l,2.360862699999416,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,3,6,27,6,109.91063300000678,110.91058600000542,110.91058600000542,110.91058600000542,t,0.8761495999933686,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,4,0,28,6,111.81086950000463,112.81044690000272,112.81044690000272,112.81044690000272,t,1.1332647999952314,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,4,1,29,5,113.9607004999998,114.96035370000027,114.96035370000027,114.96035370000027,l,1.1526969999904395,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,4,2,30,4,116.14349380000203,117.14379190000182,117.14379190000182,117.14379190000182,l,1.8387076999933925,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,4,3,31,3,119.00993810000364,120.01052760000312,120.01052760000312,120.01052760000312,t,1.053334199998062,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,4,4,32,2,121.09357150000142,122.0935301999998,122.0935301999998,122.0935301999998,l,2.4839882999949623,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,4,5,33,1,124.60994700000447,125.60988180000277,125.60988180000277,125.60988180000277,l,0.9213689999960479,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,4,6,34,0,126.56020460000582,127.55969750000077,127.55969750000077,127.55969750000077,l,0.8362463999947067,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,5,0,35,1,128.4265319000042,129.42648040000495,129.42648040000495,129.42648040000495,l,0.652640699998301,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,5,1,36,5,130.10955630000535,131.10963150000316,131.10963150000316,131.10963150000316,t,1.0671396999969147,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,5,2,37,6,132.1931065000026,133.19304120000015,133.19304120000015,133.19304120000015,t,1.0438299000015832,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,5,3,38,3,134.25952040000266,135.2592647000056,135.2592647000056,135.2592647000056,l,0.8779584999938379,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,5,4,39,4,136.1595385000037,137.15939410000283,137.15939410000283,137.15939410000283,l,0.8670957999929669,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,5,5,40,2,138.04249410000193,139.0425949000055,139.0425949000055,139.0425949000055,t,0.6372202999991714,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,5,6,41,0,139.70943660000194,140.70922730000166,140.70922730000166,140.70922730000166,l,1.3296521000011126,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,6,0,42,0,142.05922220000502,143.0595523000011,143.0595523000011,143.0595523000011,l,0.7124353999970481,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,6,1,43,4,143.7923743000065,144.79225710000173,144.79225710000173,144.79225710000173,t,5.193313599993417,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,6,2,44,3,150.00908670000354,151.00894700000208,151.00894700000208,151.00894700000208,l,0.9213023999909637,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,6,3,45,6,151.95889870000246,152.9588881000018,152.9588881000018,152.9588881000018,t,0.8213477999961469,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,6,4,46,5,153.808941400006,154.80890999999974,154.80890999999974,154.80890999999974,t,1.6163950999980443,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,6,5,47,2,156.44211760000326,157.44200140000612,157.44200140000612,157.44200140000612,l,0.8934621999942465,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,6,6,48,1,158.3585463000054,159.35846950000268,159.35846950000268,159.35846950000268,l,0.7858863999936148,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
